,Year,From country,Votes,Country,Own,English,Other,has_border,migration_band,migration_year,code,population,count,prop_emigrants,Gender,comps_since_last_win
51,2023,RU,0,Norway,False,True,False,1.0,2020.0,2020.0,NO,5379475.0,18486.0,0.0034363948154792,female,13
52,2023,NL,0,Norway,False,True,False,0.0,2020.0,2020.0,NO,5379475.0,9088.0,0.0016893841871186,female,13
53,2023,MD,0,Norway,False,True,False,0.0,2020.0,2020.0,NO,5379475.0,1228.0,0.0002282750640164,female,13
54,2023,AL,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,229.0,0.0004443737241234,group,67
55,2023,AD,0,Malta,True,True,False,0.0,0.0,0.0,MT,515332.0,0.0,0.0,group,67
56,2023,AM,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,81.0,0.0001571802255633,group,67
57,2023,AU,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,13091.0,0.0254030411462901,group,67
58,2023,AT,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,331.0,0.0006423043785365,group,67
59,2023,AZ,0,Malta,True,True,False,0.0,0.0,0.0,MT,515332.0,0.0,0.0,group,67
60,2023,BY,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,18.0,3.492893901407248e-05,group,67
61,2023,BE,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,500.0,0.0009702483059464,group,67
62,2023,BA,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,494.0,0.0009586053262751,group,67
63,2023,BG,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,2729.0,0.0052956152538557,group,67
64,2023,HR,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,217.0,0.0004210877647807,group,67
65,2023,CY,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,131.0,0.0002542050561579,group,67
66,2023,CZ,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,242.0,0.000469600180078,group,67
67,2023,DK,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,393.0,0.0007626151684739,group,67
68,2023,EE,0,Malta,True,True,False,0.0,0.0,0.0,MT,515332.0,0.0,0.0,group,67
69,2023,FI,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,234.0,0.0004540762071829,group,67
70,2023,FR,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,1296.0,0.0025148836090132,group,67
71,2023,GE,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,116.0,0.0002250976069795,group,67
72,2023,DE,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,2969.0,0.00576133444071,group,67
73,2023,GR,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,229.0,0.0004443737241234,group,67
74,2023,HU,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,431.0,0.0008363540397258,group,67
75,2023,IS,0,Malta,True,True,False,0.0,0.0,0.0,MT,515332.0,0.0,0.0,group,67
76,2023,IE,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,819.0,0.0015892667251402,group,67
77,2023,IL,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,31.0,6.0155394968680384e-05,group,67
78,2023,IT,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,4720.0,0.0091591440081345,group,67
79,2023,LV,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,229.0,0.0004443737241234,group,67
80,2023,LT,0,Malta,True,True,False,0.0,2020.0,2020.0,MT,515332.0,131.0,0.0002542050561579,group,67
